Time,Source_IP,Destination_IP,Source_Port,Destination_Port,MQTT_Type,MQTT_Topic,MQTT_Payload,Temperature (°C),Humidity (%),Packet_Length,Protocol,Dir,Flgs,SrcBytes,DstBytes,Load,Loss,Jitter,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Rate,Label
1744349803,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.726308385,2.965384007,2.965384007,2.965384007,2.965384007,2.965384007,2.965384007,58,57,57,58,2.965384007,1,1,115,0.337213082,0
1744349806,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.506497122,3.042385101,3.042385101,3.042385101,3.042385101,3.042385101,3.042385101,58,57,57,58,3.042385101,1,1,115,0.328678684,0
1744349809,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.173056872,3.014992952,3.014992952,3.014992952,3.014992952,3.014992952,3.014992952,58,57,57,58,3.014992952,1,1,115,0.331664733,0
1744349812,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.137863703,3.034544945,3.034544945,3.034544945,3.034544945,3.034544945,3.034544945,58,57,57,58,3.034544945,1,1,115,0.329527842,0
1744349815,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.990461469,3.054845095,3.054845095,3.054845095,3.054845095,3.054845095,3.054845095,58,57,57,58,3.054845095,1,1,115,0.327338125,0
1744349818,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.691112974,3.001355886,3.001355886,3.001355886,3.001355886,3.001355886,3.001355886,58,57,57,58,3.001355886,1,1,115,0.333171647,0
1744349821,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.280964013,2.97023201,2.97023201,2.97023201,2.97023201,2.97023201,2.97023201,58,57,57,58,2.97023201,1,1,115,0.336662702,0
1744349824,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.754927683,3.026808977,3.026808977,3.026808977,3.026808977,3.026808977,3.026808977,58,57,57,58,3.026808977,1,1,115,0.330370027,0
1744349827,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.028158387,3.064219952,3.064219952,3.064219952,3.064219952,3.064219952,3.064219952,58,57,57,58,3.064219952,1,1,115,0.32633668,0
1744349830,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.80C, Humidity: 50.00%",23.8,50,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.614987929,3.00646615,3.00646615,3.00646615,3.00646615,3.00646615,3.00646615,58,57,57,58,3.00646615,1,1,115,0.332605354,0
1744349833,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.80C, Humidity: 51.00%",23.8,51,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.289017867,3.02402997,3.02402997,3.02402997,3.02402997,3.02402997,3.02402997,58,57,57,58,3.02402997,1,1,115,0.330673618,0
1744349836,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 24.10C, Humidity: 52.00%",24.1,52,115,MQTT,Inbound,0x0018,57,58,11.5,0,2.436793476,3.034137964,3.034137964,3.034137964,3.034137964,3.034137964,3.034137964,58,57,57,58,3.034137964,1,1,115,0.329572041,0
1744349839,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 24.50C, Humidity: 53.00%",24.5,53,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.682735982,2.966835022,2.966835022,2.966835022,2.966835022,2.966835022,2.966835022,58,57,57,58,2.966835022,1,1,115,0.337048163,0
1744349842,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 24.80C, Humidity: 54.00%",24.8,54,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.376348114,3.030534983,3.030534983,3.030534983,3.030534983,3.030534983,3.030534983,58,57,57,58,3.030534983,1,1,115,0.329963854,0
1744349845,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 25.30C, Humidity: 54.00%",25.3,54,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.191657703,3.029565096,3.029565096,3.029565096,3.029565096,3.029565096,3.029565096,58,57,57,58,3.029565096,1,1,115,0.330069486,0
1744349848,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 26.20C, Humidity: 55.00%",26.2,55,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.47293986,3.034307957,3.034307957,3.034307957,3.034307957,3.034307957,3.034307957,58,57,57,58,3.034307957,1,1,115,0.329553578,0
1744349851,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 26.70C, Humidity: 56.00%",26.7,56,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.357421226,3.023761034,3.023761034,3.023761034,3.023761034,3.023761034,3.023761034,58,57,57,58,3.023761034,1,1,115,0.330703028,0
1744349855,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 27.60C, Humidity: 57.00%",27.6,57,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.255234248,3.031065941,3.031065941,3.031065941,3.031065941,3.031065941,3.031065941,58,57,57,58,3.031065941,1,1,115,0.329906056,0
1744349858,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 28.50C, Humidity: 56.00%",28.5,56,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.089557958,2.969649076,2.969649076,2.969649076,2.969649076,2.969649076,2.969649076,58,57,57,58,2.969649076,1,1,115,0.336728786,0
1744349861,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 29.80C, Humidity: 57.00%",29.8,57,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.018037144,3.034436941,3.034436941,3.034436941,3.034436941,3.034436941,3.034436941,58,57,57,58,3.034436941,1,1,115,0.32953957,0
1744349864,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 30.20C, Humidity: 57.00%",30.2,57,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.062804273,3.018579006,3.018579006,3.018579006,3.018579006,3.018579006,3.018579006,58,57,57,58,3.018579006,1,1,115,0.331270731,0
1744349867,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 30.80C, Humidity: 57.00%",30.8,57,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.517690134,3.037190914,3.037190914,3.037190914,3.037190914,3.037190914,3.037190914,58,57,57,58,3.037190914,1,1,115,0.32924077,0
1744349870,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 31.30C, Humidity: 58.00%",31.3,58,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.273419952,3.02148509,3.02148509,3.02148509,3.02148509,3.02148509,3.02148509,58,57,57,58,3.02148509,1,1,115,0.330952123,0
1744349873,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 31.30C, Humidity: 58.00%",31.3,58,115,MQTT,Inbound,0x0018,57,58,11.5,1,1.558984181,3.030755043,3.030755043,3.030755043,3.030755043,3.030755043,3.030755043,58,57,57,58,3.030755043,1,1,115,0.329939897,0
1744349876,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 31.80C, Humidity: 59.00%",31.8,59,115,MQTT,Inbound,0x0018,57,58,11.5,1,1.564472491,2.968981028,2.968981028,2.968981028,2.968981028,2.968981028,2.968981028,58,57,57,58,2.968981028,1,1,115,0.33680455,0
1744349879,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.30C, Humidity: 59.00%",32.3,59,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.867212899,3.029211044,3.029211044,3.029211044,3.029211044,3.029211044,3.029211044,58,57,57,58,3.029211044,1,1,115,0.330108063,0
1744349882,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.30C, Humidity: 59.00%",32.3,59,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.818513592,3.028079987,3.028079987,3.028079987,3.028079987,3.028079987,3.028079987,58,57,57,58,3.028079987,1,1,115,0.330231362,0
1744349885,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.30C, Humidity: 59.00%",32.3,59,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.751136255,3.03452611,3.03452611,3.03452611,3.03452611,3.03452611,3.03452611,58,57,57,58,3.03452611,1,1,115,0.329529887,0
1744349888,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.80C, Humidity: 59.00%",32.8,59,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.992147559,3.028419971,3.028419971,3.028419971,3.028419971,3.028419971,3.028419971,58,57,57,58,3.028419971,1,1,115,0.330194289,0
1744349891,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.80C, Humidity: 58.00%",32.8,58,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.085427688,3.037729979,3.037729979,3.037729979,3.037729979,3.037729979,3.037729979,58,57,57,58,3.037729979,1,1,115,0.329182346,0
1744349894,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 32.30C, Humidity: 55.00%",32.3,55,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.388648465,2.963147163,2.963147163,2.963147163,2.963147163,2.963147163,2.963147163,58,57,57,58,2.963147163,1,1,115,0.337467631,0
